epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.69592,1.32254,1.70459,1.33789,0.56594,0.09253,0.07942,0.04808,1.96808,4.15933,1.84769,7e-05,7e-05,0.09307
2,6.08859,1.3735,1.91286,1.32865,0.68354,0.05364,0.06361,0.04123,2.00366,3.93889,1.7932,0.00014703,0.00014703,0.085147
3,7.62555,1.29352,1.72734,1.2982,0.6742,0.08631,0.08012,0.05609,1.76265,3.83595,1.64624,0.000220892,0.000220892,0.0772209
4,9.04279,1.29051,1.62123,1.27504,0.49321,0.18944,0.18038,0.12554,1.62965,3.34522,1.52735,0.000291586,0.000291586,0.0692916
5,10.5016,1.27066,1.50392,1.2748,0.52013,0.22755,0.25332,0.17315,1.55885,2.95164,1.4594,0.000359112,0.000359112,0.0613591
6,12.1989,1.23393,1.47383,1.24431,0.61078,0.26388,0.29153,0.19825,1.48645,2.70086,1.42123,0.00042347,0.00042347,0.0534235
7,13.6881,1.26153,1.43619,1.27747,0.74653,0.19245,0.28396,0.18309,1.49126,2.64075,1.44284,0.00048466,0.00048466,0.0454847
8,15.0607,1.25838,1.41014,1.24789,0.64468,0.30958,0.38803,0.24496,1.47159,2.12814,1.44723,0.000542682,0.000542682,0.0375427
9,16.5103,1.30713,1.48021,1.28211,0.65558,0.45716,0.52488,0.34462,1.36916,1.6008,1.34777,0.000597536,0.000597536,0.0295975
10,17.923,1.17991,1.30484,1.23288,0.6169,0.57434,0.61168,0.40595,1.26015,1.39936,1.26819,0.000649222,0.000649222,0.0216492
11,19.3663,1.22214,1.31569,1.24003,0.6282,0.56087,0.6119,0.42196,1.26196,1.35817,1.25417,0.00069774,0.00069774,0.0136977
12,20.7646,1.20068,1.31504,1.22443,0.6322,0.55212,0.62449,0.4257,1.25518,1.32972,1.24093,0.00074309,0.00074309,0.00574309
13,22.1804,1.20448,1.28435,1.22882,0.74888,0.5074,0.64031,0.42679,1.24865,1.3319,1.23306,0.0007624,0.0007624,0.0007624
14,23.594,1.18486,1.27824,1.20879,0.67141,0.55458,0.64317,0.438,1.22893,1.29869,1.2185,0.0007426,0.0007426,0.0007426
15,25.1775,1.19032,1.21224,1.19438,0.62805,0.5751,0.64666,0.4437,1.19407,1.261,1.20036,0.0007228,0.0007228,0.0007228
16,26.5883,1.12932,1.14858,1.1969,0.67312,0.57967,0.68001,0.4709,1.15613,1.17921,1.18125,0.000703,0.000703,0.000703
17,27.9968,1.14281,1.16655,1.19072,0.67802,0.63858,0.72554,0.49204,1.13128,1.13298,1.16787,0.0006832,0.0006832,0.0006832
18,29.3881,1.12935,1.14897,1.18012,0.73389,0.67488,0.73151,0.51504,1.10855,1.07441,1.15162,0.0006634,0.0006634,0.0006634
